nbs_id,table,category,family,searched,screened,verified,last_run_id,updated,by,note
agroforestry,T3,stock,,done,done,done,relverify_2026-06,2026-06-17,orchestrator,
agroforestry,T3,grey,,in_progress,done,done,relverify_2026-06,2026-06-17,orchestrator,2 WB project docs only; no systematic grey search
agroforestry,T6,stock,,done,done,done,relverify_2026-06,2026-06-17,orchestrator,
agroforestry,T6,grey,,in_progress,done,done,relverify_2026-06,2026-06-17,orchestrator,2 WB project docs only; no systematic grey search
agroforestry,T6,updated_lit,,in_progress,done,in_progress,openalex_af_2026-06,2026-06-19,orchestrator,Central guardrail (verbatim+check_numbers) passed; pending QA-review dashboard sign-off
agroforestry,T3,updated_lit,agroforestry__regeneration_farmland,done,done,done,fmnr_2026-07,2026-07-17,Pete/Claude,central guardrail: 664 verbatim-verified; 3 off-scope auto-quarantined; QA review pending
agroforestry,T3,grey,agroforestry__regeneration_farmland,done,done,done,fmnr_2026-07,2026-07-17,Pete/Claude,central guardrail: 664 verbatim-verified; 3 off-scope auto-quarantined; QA review pending
agroforestry,T6,updated_lit,agroforestry__regeneration_farmland,done,done,done,fmnr_2026-07,2026-07-17,Pete/Claude,central guardrail: 664 verbatim-verified; 3 off-scope auto-quarantined; QA review pending
agroforestry,T6,grey,agroforestry__regeneration_farmland,done,done,done,fmnr_2026-07,2026-07-17,Pete/Claude,central guardrail: 664 verbatim-verified; 3 off-scope auto-quarantined; QA review pending
agroforestry,T3,stock,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,updated_lit,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,grey,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,tool,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,stock,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,updated_lit,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,grey,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,tool,agroforestry__planted_silvoarable,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,stock,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,updated_lit,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,grey,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,tool,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,stock,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,updated_lit,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,grey,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,tool,agroforestry__shaded_perennial,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,stock,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,updated_lit,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,grey,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,tool,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,stock,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,updated_lit,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,grey,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,tool,agroforestry__linear_boundary,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,stock,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,updated_lit,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,grey,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,tool,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,stock,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,updated_lit,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,grey,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,tool,agroforestry__silvopastoral,done,done,not_started,targeted_discovery_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,stock,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,updated_lit,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,grey,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,tool,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,stock,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,updated_lit,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,grey,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,tool,agroforestry__homegardens_proximity,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,stock,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,updated_lit,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,grey,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T3,tool,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,stock,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,updated_lit,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
agroforestry,T6,grey,agroforestry__cross_family,done,done,not_started,discovery_crossfam_homegardens_2026-08,2026-08-05,Pete/Claude,targeted discovery fan-out; SRCH logged; extraction parked
