search_id,nbs_id,suitability_family_id,table,category,search_terms,screening_steps,inclusion_criteria,limits,n_retrieved,n_screened,n_included,search_date,run_id,searched_by,ruleset_version,discovery_log_ref,note
agroforestry__T4__stock__stocktake-2026,agroforestry,,T4,stock,"OpenAlex 3-block AND query, top 300 papers/practice by relevance. Block 1 practice: (""agroforestry"" OR ""agro-forestry"" OR ""trees on farms"" OR ""tree-based system*"" OR ""agrosilvopastoral*"" OR ""silvopastoral*"" OR ""agro-silvo-pastoral*"" OR ""tree-livestock system*""). AND Block 2 climate relevance: (""climate"" OR ""climate change"" OR ""drought"" OR ""flood*"" OR ""fire"" OR ""heat"" OR ""temperature"" OR ""rainfall"" OR ""precipitation"" OR ""erosion"" OR ""water stress"" OR ""hazard"" OR ""risk"" OR ""extreme event*""). AND Block 3 spatial output: (""map*"" OR ""index"" OR ""ranking"" OR ""priority area*"" OR ""classification"" OR ""suitability class*"" OR ""scenario*"" OR ""assessment""). Verbatim from stocktake Annex 1 (reference/stocktake/_local/stocktake_review.txt).",frame|source_type|relevance|credibility_six_axis|saturation_stop,"practice-level AF suitability thresholds (biophysical/system); exclude species-envelope, restoration/pure-forestry, study-site descriptors, constrained-AOI schemes",cap ~10-20 sources/NbS×table; C/I/D tiered,300,,23,2026-06-06,relverify_2026-06,Lolita Muller (screening) / Pete,v1.0,agroforestry_T4.md; reference/stocktake/,Foundational stocktake; table-level (NOT per sub-practice). Search string verbatim from Annex 1; practice synonyms incl. silvopastoral/agrosilvopastoral. Counts AF-specific: ~300 retrieved (top-300 for the AF practice query) -> 23 AF rows in the 220-row all-NbS benchmarked corpus (~3000 retrieved across 10 practices).
agroforestry__T4__updated_lit__openalex-2026-06,agroforestry,,T4,updated_lit,6 OpenAlex title queries: agroforestry x (suitability | land evaluation | priority areas | multicriteria/GIS | silvopasture | opportunity mapping); from_publication_date:2024-01-01; type:article; sort by cites,frame|source_type|relevance|credibility_six_axis|saturation_stop,"practice-level AF suitability thresholds (biophysical/system); exclude species-envelope, restoration/pure-forestry, study-site descriptors, constrained-AOI schemes; novel vs the 220-row stocktake; open-access",retrieve<=200/query; screen<=50 abstracts; acquire+extract<=15,31,29,4,2026-06-19,openalex_af_2026-06,Pete (orchestrated),v1.0,agroforestry_openalex_sweep_2026-06.md,4 acquired+extracted (2 acquire-failed); 23 deferred in reference/discovery/openalex_candidates.csv. Table-level.
agroforestry__T4__grey__webgrey-2026-06,agroforestry,,T4,grey,iterative web (EN/ES/FR): AF land-suitability tools/methods; silvopasture GIS mapping; FMNR/parkland Sahel targeting; cocoa/coffee shade zoning + national AF atlases; multilingual aptitude/aptitud agroforesterie cartografia,frame|source_type|relevance|credibility_six_axis|saturation_stop,"practice-level AF suitability thresholds (biophysical/system); exclude species-envelope, restoration/pure-forestry, study-site descriptors, constrained-AOI schemes; grey positive-bias discount applied","exploratory, iterative; cap ~10-20/NbS×table",,,2,2026-06-20,grey_af_2026-06,Pete (orchestrated),v1.0,agroforestry_grey_websearch_2026-06.md,INAB Guatemala (50 EV) + CRS FMNR Niger (17 EV); WRI ROAM dropped off-NbS; 2x HTTP-403. WOCAT token-walled (parked).
agroforestry__T4__grey__cgspace-2026-06,agroforestry,,T4,grey,"CGSpace DSpace API, 4 queries: 'agroforestry land suitability mapping criteria'; 'agroforestry suitability soil slope rainfall classes'; 'silvopastoral land suitability'; 'land evaluation agroforestry FAO suitability classes S1 S2'",frame|source_type|relevance|credibility_six_axis|saturation_stop,"practice-level AF suitability thresholds (biophysical/system); exclude species-envelope, restoration/pure-forestry, study-site descriptors, constrained-AOI schemes",~20 unique items screened; read-only API,,20,1,2026-06-23,cgspace_af_2026-06,Pete (orchestrated),v1.0,agroforestry_cgspace_2026-06.md,"1 study (singh South Asia, 5 EV via OA copy); rest metadata-only/off-scope/restoration/targeting-frameworks. Low yield for thresholds."
agroforestry__T4__tool__github-2026-06,agroforestry,,T4,tool,gh search repos: 'agroforestry suitability'; 'land-suitability AHP'; 'MCDA suitability mapping'; 'silvopasture GIS'; 'ecocrop suitability'; 'fuzzy land evaluation'; 'tree planting suitability'; + platforms (WOCAT/ICRAF SPACIAL/WRI FLR/ROAM),frame|source_type|relevance|credibility_six_axis|saturation_stop,tool/method/codebase whose code/docs state reusable AF suitability thresholds/weights/criteria; ignore species-envelope scripts; PICOS: practice must be in the tool,single strong terms (multi-term unreliable); pending_review,,,7,2026-06-21,tool_af_2026-06,Pete (orchestrated),v1.0,agroforestry_tools_search_2026-06.md,"7 tools registered; saraheb3 GEE code -> 13 file-line EV. GAP: ICRAF/CIFOR methods under-found (search-coverage failure, not absence)."
agroforestry__T4__updated_lit__agroforestry__regeneration_farmland__2026-07-17,agroforestry,agroforestry__regeneration_farmland,T4,updated_lit,"OpenAlex title.search(display_name): EN 'farmer managed natural regeneration'|'assisted natural regeneration'; FR 'regeneration naturelle assistee'|RNA x suitability/land/degradation/parkland/aridity; seed backward-cite Chomba2020,Kessler1994,Lohbeck2020,Sendzimir2011",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA practice explicit (PICOS); bears on suitability(T4)/hazard-response(T3)/outcomes+cost(T6); exclude species-envelope, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50; sweep PRISMA 58 retrieved -> 36 screened -> 19 included,,,8,2026-07-17,fmnr_2026-07,Pete/Claude,v1.2,agroforestry_regeneration_fmnr_2026-07.md,sweep-level PRISMA in discovery log
agroforestry__T4__grey__agroforestry__regeneration_farmland__2026-07-17,agroforestry,agroforestry__regeneration_farmland,T4,grey,"WebSearch authority-org FMNR/ANR field manual+establishment (FAO ANR manual 2019, WRI Six Steps 2015) + WOCAT SLM tech DB #507(Kenya),#1358(Burkina)",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F2 FMNR/ANR/RNA practice explicit (PICOS); bears on suitability(T4)/hazard-response(T3)/outcomes+cost(T6); exclude species-envelope, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50; sweep PRISMA 58 retrieved -> 36 screened -> 19 included,,,4,2026-07-17,fmnr_2026-07,Pete/Claude,v1.2,agroforestry_regeneration_fmnr_2026-07.md,WOCAT acquired via per-technology PDF export; HTML page is JS SPA shell
agroforestry__T4__stock__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,stock,OpenAlex title.search boolean: (silvopasture OR silvopastoral OR silvopastoril OR sylvopastoral OR silvipastoril) AND (suitability OR suitable OR potential OR establishment OR density OR stocking OR forage OR grazing OR shade OR slope OR aridity OR rainfall); sort=cited_by_count:desc; seminal/high-cite slice,frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,454,18,3,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,seminal closed-access -> acquisition_queue: shrestha_alavalapati_2003 (FL silvopasture potential); silvopast water-balance Patagonia 2002 (a:1020269432671); pasture-under-tree-density Atlantic (s10457-007-9032-2)
agroforestry__T4__updated_lit__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,updated_lit,"OpenAlex same boolean net, recent slice ~2015-2026 + suitability-mapping method angle incl US-Midwest agroforestry suitability doi:10.1088/1748-9326/adab09",frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,454,18,4,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,eja.2020.126029 microclimate canopy palisadegrass (hybrid); SciELO s0103-90162010000500014 soil bulk density Brachiaria (gold OA); agee.2016.08.026 Piata x tree density (bronze OA); adab09 Midwest suitability method (gold OA)
agroforestry__T4__grey__agroforestry__silvopastoral__2026-08-04,agroforestry,agroforestry__silvopastoral,T4,grey,WebSearch EN: silvopasture/silvopastoral establishment guidelines + tree density + stocking rate + suitability manual (FAO/CIPAV/WOCAT); intensive silvopastoral ISPS density (fodder shrubs 4000-40000/ha; trees 100-600/ha),frame|source_type|relevance|credibility_six_axis|saturation_stop,"F3 silvopasture/silvopastoral practice explicit (PICOS); bears on T4 suitability: biophysical envelope + grazing/forage/stocking system-constraint; exclude species-envelope tree-growth scripts, low-tier/predatory venues, constrained-AOI, uncacheable",bounded authority-weighted seed-set ~15-20; OA/downloadable preferred; screen<=50,8,8,3,2026-08-04,silvopastoral_t4_2026-08,Pete/Claude,v1.4.1,agroforestry_silvopastoral_T4_2026-08.md,OA PDFs: Center-for-Agroforestry Training Manual 2025 Ch4 Silvopasture; UFL-IFAS FR145; OSU-Ext EM8989. GAP: CIPAV/Latin-America LMIC silvopasture not yet located. US-extension = quantified density/site rules but temperate-US context (context downweight for LMIC)
