context_id,context_type,context_name,parent_context_id,dataset_id,geometry_field,value_in_dataset,description,is_active
humid_tropics,aez,Humid tropics,tropics,gaez_v4_aez33,aez_code,120,"Humid tropical zone with > 1200mm annual rainfall and no prolonged dry season. Dominant farming systems: tree crops, mixed rainfed, root crops. Agroforestry widely practised (cocoa, coffee, home gardens). Primary slope constraint is more relaxed due to high biomass and erosion control provided by tree cover.",true
sub_humid_tropics,aez,Sub-humid tropics,tropics,gaez_v4_aez33,aez_code,130,"Sub-humid tropical zone with 800–1200mm annual rainfall and a defined dry season (3–5 months). Dominant farming systems: maize-mixed, mixed rainfed, agropastoral. Classic zone for agroforestry with leguminous trees (Gliricidia, Leucaena, Faidherbia). Drought is a seasonal constraint requiring careful species selection.",true
semi_arid,aez,Semi-arid tropics and subtropics,drylands,gaez_v4_aez33,aez_code,140,"Semi-arid zone with 300–800mm annual rainfall and 5–8 month dry season. Aridity index 0.2–0.5. Dominant systems: agropastoral millet/sorghum, pastoral. Parkland agroforestry (Faidherbia albida, Vitellaria paradoxa) and FMNR are the appropriate sub-types. Drought is the primary constraint; rainfall threshold overrides are required. Haile (2024) and Ahmad et al. (2020) demonstrate viable agroforestry in this zone.",true
highland_tropics,aez,Highland tropics and subtropics,tropics,gaez_v4_aez33,aez_code,150,"Highland tropical zone at > 1500m elevation with cooler temperatures (mean annual temp 10–18°C) and typically 800–1500mm annual rainfall. Dominant systems: highland mixed, root crops, tea/coffee. Slope constraints are more relaxed for agroforestry due to traditional terracing practices. Nath et al. (2021) and Mushtaq et al. (2023) cover this zone in the Eastern Himalayas and Kashmir respectively.",true
temperate_europe,aez,Temperate Europe (silvoarable zone),temperate,gaez_v4_aez33,aez_code,310,"Temperate European zone with 500–900mm annual rainfall and seasonal temperature variation. Mediterranean and Atlantic climate subtypes. Dominant systems: cereal-based mixed farming, permanent crops, silvopasture. Palma et al. (2007) and Kiziridis et al. (2026) cover silvoarable and silvopastoral systems in this zone. Temperature lower bounds apply for frost-sensitive species.",true
sub_humid_tropics_africa,aez,Sub-humid tropics — sub-Saharan Africa,sub_humid_tropics,gaez_v4_aez33,aez_code,131,"Sub-humid tropical zone specific to sub-Saharan Africa context where road infrastructure is sparse and market access constraints require more relaxed suitability thresholds. Chuma et al. (2021) DRC and Ahmad & Goparaju (2017) India studies apply here. Road access distance override is wider than global default. Farming systems: mixed rainfed, agropastoral, tree crop.",true
mixed_rainfed,farming_system,Mixed rainfed farming system,,fao_farming_systems,farming_system_code,MIXED_RAINFED,"Mixed rainfed farming systems combining annual crops (cereals, legumes) with livestock on the same farm. Rainfall-dependent with no supplemental irrigation. Agroforestry integration is well-documented and economically proven in this system. Primary context for alley cropping, intercropping, and multipurpose tree integration. Covers much of sub-Saharan Africa, South Asia, and Southeast Asia.",true
agro_pastoral_millet_sorghum,farming_system,Agropastoral millet/sorghum system,,fao_farming_systems,farming_system_code,AGROPASTORAL_MILLET_SORGHUM,"Semi-arid agropastoral systems in the Sahel and Horn of Africa combining dryland millet and sorghum cultivation with mobile or semi-mobile livestock keeping. Parkland agroforestry (Faidherbia albida, Vitellaria paradoxa) and FMNR are the dominant traditional and promoted agroforestry forms. Brandt et al. (2015) and Haile (2024) cover this system type in Kenya and Ethiopia.",true
highland_mixed,farming_system,Highland mixed farming system,,fao_farming_systems,farming_system_code,HIGHLAND_MIXED,"Mixed farming systems at elevation (1000–3000m) in East African highlands, Andean highlands, Asian highlands. Combines annual crops, permanent crops, and sometimes livestock on sloped terrain. Agroforestry widely practised for fuelwood, fodder, and soil erosion control. Nath et al. (2021) cover Eastern Himalayas, Seja et al. (2022) cover Uluguru Mountains Tanzania. Slope overrides apply.",true
pastoral,farming_system,Pastoral and agropastoral system,,fao_farming_systems,farming_system_code,PASTORAL,Predominantly livestock-based systems with grazing as the primary land use. Silvopastoral agroforestry (trees retained in or planted on rangelands) is the relevant sub-type. Kiziridis et al. (2026) cover silvopastoral systems in Spain and Greece. Fire risk is a particular concern in this farming system; fire hazard context override applies to T4 slope and tree cover mappings.,true
tree_crop,farming_system,Tree crop system,,fao_farming_systems,farming_system_code,TREE_CROP,"Farming systems dominated by tree crops — cocoa, coffee, oil palm, rubber, cashew — in humid and sub-humid tropics. Multi-strata agroforestry integration (shade trees over monoculture cash crops) is the primary sub-type. Singh et al. (2024) identify tree crop systems as a high-potential scaling pathway for agroforestry using remote sensing. Relevant for West Africa, Central America, and Southeast Asia.",true
arid,aez,Arid zone (AI < 0.2),drylands,gaez_v4_aez33,aez_code,160,"Hyperarid and arid zones with < 250mm annual rainfall and aridity index < 0.2. WH is among the very few viable agricultural NbS. Dominant sub-practices: wadi-based check dams, cisterns, micro-catchments, Vallerani technique. Evaporation losses are high and must be factored into storage sizing. Primary context for Iraq, Jordan, Saudi Arabia, and Yemen papers in the stocktake (Adham et al. 2018, Hassan et al. 2025, Al-Shabeeb et al. 2022, Al-Shamiri & Ziadat 2012).",true
dryland_mena,aez,Middle East and North Africa dryland (MENA arid),arid,gaez_v4_aez33,aez_code,162,"MENA-specific arid context characterised by wadi systems, limestone geology, and traditional RWH heritage (cisterns, spate irrigation). The largest geographic cluster in the WH stocktake: Iraq (Adham 2018, Hassan 2025, multiple others), Jordan (Al-Shabeeb 2022, Alrawi 2023), Palestine (Shadeed 2019), Yemen (Al-Shamiri 2012), Saudi Arabia. Wadi stream-order suitability applies; geology/lineament density is a key additional input variable used by MENA papers but absent in global default T4.",true
dryland_south_asia,aez,"South Asia semi-arid (India, Pakistan)",semi_arid,gaez_v4_aez33,aez_code,141,"South Asian semi-arid context covering Deccan Plateau, Rajasthan, and Pakistan dryland zones. Government subsidy schemes (MGNREGS) substantially reduce effective smallholder WH costs. Check dams and percolation tanks are the dominant government-promoted sub-practices. Key papers: Singh et al. (2016), Vema et al. (2019), Jha et al. (2014), Zheng et al. (2023) Pakistan.",true
east_africa_semiarid,aez,"East Africa semi-arid and sub-humid (Ethiopia, Tanzania, Rwanda)",semi_arid,gaez_v4_aez33,aez_code,142,"East African dryland context spanning Ethiopia, Tanzania, Kenya, and Rwanda. The second-largest geographic cluster in the WH stocktake. Strong government and NGO support for WH through IWMI, CGIAR, and national programmes. Key papers: Alene et al. (2022), Bera equivalent in Ethiopia, Mahmoud et al. (2014), Grum et al. (2016), Mbilinyi et al. (2007), Umugwaneza et al. (2022), Amdihun et al. (2014), Worku et al. (2020).",true
