variable_id,dataset_id,directionality_of_concern,ttl_priority_label,ttl_priority_description,is_climate_risk_component,aggregation_method,normalisation_method,has_future_projection,is_active,variable,theme,weight_default,evidence_ids
rural_poverty_headcount,world_bank_poverty_pip,high_is_bad,Poverty,Areas with high rural poverty headcount indicate greater need for livelihood-improving NbS investments. Agroforestry can diversify income streams and reduce exposure to climate-induced agricultural losses in the most vulnerable communities.,False,area_weighted_mean,percentile_clip,False,True,rural_poverty_headcount,people_production,0.071,[]
carbon_sequestration_potential,fao_gsoc_map,low_is_bad,Carbon potential,Indicates the potential for agroforestry to sequester additional carbon in biomass and soil relative to current land use. Higher values indicate greater climate mitigation co-benefit and potential for carbon finance to support investment.,False,mean,percentile_clip,False,True,carbon_sequestration_potential,nbs_response,0.071,[]
food_security_risk,chelsa_bioclim_v21_baseline,high_is_bad,Food security risk,"Areas with high agricultural production vulnerability show elevated food insecurity risk, where agroforestry diversification of farm outputs can provide a buffer against crop failure and stabilise household nutrition.",True,mean,percentile_clip,True,True,food_security_risk,people_production,0.071,[]
biodiversity_conservation_priority,protected_areas_wdpa,low_is_bad,Biodiversity,"Areas with high biodiversity value where agroforestry can contribute to habitat connectivity, tree cover restoration, and species conservation alongside productive land use. High biodiversity areas can justify agroforestry as a nature-positive investment.",False,max,min_max,False,True,biodiversity_conservation_priority,nbs_response,0.071,[]
soil_degradation_risk,isric_soilgrids250_v2,high_is_bad,Soil degradation,"Areas with high soil degradation risk—from water erosion, wind erosion, or organic carbon depletion—where agroforestry tree cover and root systems can provide long-term soil protection and regeneration benefits.",False,mean,percentile_clip,False,True,soil_degradation_risk,nbs_response,0.071,[]
road_infrastructure_access,osm_road_network,high_is_bad,Market access,"Areas close to road infrastructure have better market access for selling agroforestry products (timber, fruit, carbon credits) and receiving inputs and extension services, making investments more commercially viable.",False,mean,percentile_clip,False,True,road_infrastructure_access,infrastructure,0.071,[]
climate_drought_hazard,spei_global_v26,high_is_bad,Drought risk,"Areas with high drought risk where agroforestry can provide direct climate adaptation benefits by reducing evapotranspiration, improving soil moisture, and stabilising crop yields under dry conditions.",True,mean,percentile_clip,True,True,climate_drought_hazard,climate_hazard,0.071,[]
tree_cover_gap,hansen_treecover2000,high_is_bad,Tree cover gap,"Areas with a large gap between current and potential tree cover where agroforestry integration can significantly increase landscape tree cover, generating multiple co-benefits for climate, biodiversity, and farmer livelihoods.",False,mean,min_max,False,True,tree_cover_gap,nbs_response,0.071,[]
agricultural_water_deficit,worldclim_v2_precip,high_is_bad,Water deficit,"Areas where crop water demand consistently exceeds seasonal rainfall, indicating the highest potential impact from water harvesting structures that bridge the deficit gap during critical crop growth stages.",True,mean,percentile_clip,True,True,agricultural_water_deficit,nbs_response,0.071,[]
runoff_potential_index,isric_soilgrids250_v2,low_is_bad,Harvestable runoff,"Areas with high surface runoff potential have the most water available for capture. Higher runoff index indicates greater volumes available for storage in check dams and farm ponds, making WH investments more productive per unit cost.",False,mean,percentile_clip,False,True,runoff_potential_index,nbs_response,0.071,[]
soil_erosion_risk,srtm_dem_30m,high_is_bad,Erosion risk,"Areas with high soil erosion risk benefit most from WH structures that slow runoff, trap sediment, and stabilise gullies. Erosion control is a major co-benefit of check dams and contour bunding alongside water storage.",False,mean,percentile_clip,False,True,soil_erosion_risk,nbs_response,0.071,[]
groundwater_recharge_potential,isric_soilgrids250_v2,low_is_bad,Groundwater recharge,"Areas where percolation tanks and check dams can recharge shallow aquifers, sustaining dry-season well levels for drinking water and supplemental irrigation. High recharge potential areas offer dual storage benefit — surface and subsurface.",False,mean,percentile_clip,False,True,groundwater_recharge_potential,nbs_response,0.071,[]
flood_risk,srtm_dem_30m,high_is_bad,Flood risk,"Areas with high flash flood risk where WH structures can attenuate peak flows and reduce downstream flooding, providing dual drought-adaptation and flood-mitigation benefits. Both a co-benefit driver and a siting constraint.",True,max,percentile_clip,False,True,flood_risk,climate_hazard,0.071,[]
water_access_deficit,worldpop_population_density,high_is_bad,Water access gap,"Areas where rural populations lack reliable water access, where WH structures can provide drinking water, domestic water, and livestock watering in addition to agricultural irrigation benefits. Captures the human welfare dimension of WH investment.",False,area_weighted_mean,percentile_clip,False,True,water_access_deficit,people_production,0.071,[]
