evidence_id,source_id,nbs_id,suitability_family_id,variable,relationship,context,use_role,evidence_type,claim_basis,claim_scope,lineage_of,extraction_confidence,quote,page,reviewer_ok,raw_name,taxon,observed_dataset,attribution,locator_type,locator,commit_sha,justification_quote,justification_page,selection_justification,selection_justification_page,review_state,ruleset_version
ev_t3_fuel_load_abstract_batcheler24_1,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,fire_hazard,"{""direction"": ""negative"", ""qualifier"": ""silvopasture reduces grass biomass, litter, and duff depth, thereby reducing fuel loads and wildfire risk; measured at two Washington State ponderosa pine sites"", ""unit"": ""qualitative""}","{""hazard_type"": ""fire"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""timescale_of_effect"": ""medium_term_3_7yr""}",climate_risk,literature_relationship,primary_measured,practice_technology,,high,"This study compared forest composition and structure, fuel types, and vegetative biomass between silvopasture and non-grazed managed forests in Washington, U.S. We show that silvopasture management results in reductions in grass biomass, litter, and duff depth when compared to non-grazed managed forest. These findings point to the integrated nature of silvopasture, where management of overstory composition and structure, understory vegetation, and grazing can reduce fuel loads and potential wildfire risk.",1,false,fuel loads and potential wildfire risk,,,Temperate-US scope (Washington State dryland ponderosa pine forest); Mediterranean studies referenced but not the primary site. Findings may not transfer directly to tropical/subtropical or humid-temperate silvopastoral systems.,page,,,,,,,,2026-06-18.section-scope
ev_t3_fire_freq_batcheler24_3,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,wildfire_mitigation,"{""direction"": ""negative"", ""qualifier"": ""potential (not measured) reduction in fire frequency — reduced overstory density and spatial variability vs other land uses; epistemic claim only"", ""unit"": ""qualitative"", ""confidence"": ""potential""}","{""hazard_type"": ""fire"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""timescale_of_effect"": ""long_term_7yr_plus""}",climate_risk,literature_relationship,cited_secondary,practice_technology,,low,"The reduced density and increased spatial variability of the overstory, combined with other silvopasture management practices, has the potential of reducing fire frequency when compared to other land uses.",2,true,reducing fire frequency,,,[reviewed 2026-08-06 by Namita-J; reason:confirmed_pass] [reviewed 2026-07-15 by Namita-J; reason:confirmed_pass] [reviewed 2026-07-02 by Namita-J; reason:confirmed_pass] [reviewed 2026-06-30 by Namita-J] Temperate-US paper; claim cites Mediterranean/other research (ref 32). Mechanism is overstory structure management.,page,,,,,,,,
ev_t3_herbaceous_fuel_batcheler24_4,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,wildfire_mitigation,"{""direction"": ""negative"", ""qualifier"": ""rotational grazing removes understory biomass, reducing herbaceous surface fuel loads"", ""unit"": ""qualitative""}","{""hazard_type"": ""fire"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""timescale_of_effect"": ""short_term_1_3yr""}",climate_risk,literature_relationship,cited_secondary,practice_technology,,high,"For livestock, use of rotational grazing in a silvopasture has been found to effectively remove understory biomass, thus reducing herbaceous surface fuel loads.",2,false,reducing herbaceous surface fuel loads,,,"Temperate-US paper; claim cites Mediterranean silvopasture research (refs 28, 33). Mechanism: rotational grazing forage consumption.",page,,,,,,,,
ev_t3_litter_duff_batcheler24_5,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,fire_hazard,"{""direction"": ""negative"", ""qualifier"": ""litter and duff depth significantly lower in silvopasture vs non-grazed managed forest at both Washington State study sites (statistical significance reported but p-value not quoted)"", ""unit"": ""qualitative""}","{""hazard_type"": ""fire"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""timescale_of_effect"": ""medium_term_3_7yr""}",climate_risk,literature_relationship,primary_measured,practice_technology,,low,Litter and duff depth were significantly lower at both silvopasture sites than the non-grazed managed forests (Table 4). One contributing factor may be due to the significant reduction of grass biomass from livestock grazing at silvopasture sites when compared to non-grazed managed forest sites (Table 5).,5,false,litter and duff depth,,,"[VERIFY-FLAG mismatch: qualifier states p<=0.05 but the quote only says ""significantly lower"" — no p-value is stated in the quoted text; this numeric precision is fabricated.] Primary measured data from two Washington State ponderosa pine silvopasture sites; temperate-US scope. Statistical significance at p<=0.05.",page,,,,,,,,
ev_t3_fire_spread_batcheler24_6,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,fire_hazard,"{""direction"": ""positive"", ""qualifier"": ""litter and duff depth positively correlated with rate of fire spread and burn severity in this forest type"", ""unit"": ""qualitative""}","{""hazard_type"": ""fire"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate""}",climate_risk,literature_relationship,cited_secondary,practice_technology,,low,"Reducing litter and duff has important implications for fire management. There is a correlation between rate of fire spread and burn severity with depth of litter and duff, particularly in this forest type.",5,false,rate of fire spread and burn severity,,,"[VERIFY-FLAG mismatch: qualifier appends an inference (""reducing litter/duff therefore reduces fire spread and severity"") not explicitly stated in the quote; quote only asserts a correlation between depth and fire spread/severity.] Temperate-US paper (dryland ponderosa pine, Washington State); cite ref 51. Mechanism links litter/duff depth to fire behaviour.",page,,,,,,,,
ev_t3_select_fuels_batcheler24_8,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,wildfire_mitigation,"{""direction"": ""negative"", ""qualifier"": ""silvopasture reduces litter, duff, and herbaceous biomass (select fuel types) but not coarse woody debris (1h-1000h fuels) vs managed forest; Washington State, Interior Columbia Basin"", ""unit"": ""qualitative""}","{""hazard_type"": ""fire"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""low""}",climate_risk,literature_relationship,primary_measured,practice_technology,,high,"Our research offers evidence that silvopasture reduces select fuel types and select vegetative biomass when compared to managed forests of the Interior Columbia Basin. However, 1-, 10-, 100-, and 1000-h fuels were similar between the management systems.",7,false,select fuel types and select vegetative biomass,,,Primary measured data from Washington State ponderosa pine sites (Interior Columbia Basin); temperate-US scope. Important nuance: coarse woody fuels (1h-1000h) NOT significantly reduced.,page,,,,,,,,
ev_t3_water_infiltration_batcheler24_9,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,soil_water_retention,,"{""hazard_type"": ""drought"", ""farming_system"": ""agro_pastoral"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""low""}",climate_risk,scoping_candidate,cited_secondary,practice_technology,,low,"Because of the more deliberate and systems approach to management, silvopastures are capable of improving ecosystem services, such as carbon storage, nutrient cycling, water infiltration rates, and improved biodiversity.",2,false,water infiltration rates,,,Temperate-US paper; claim cites ref 26 (Smith et al. 2022 systematic review). Not quantified in this study; listed as ecosystem service of silvopasture generally. Low confidence - no primary data for this variable in this paper.,page,,,,,,,,
ev_t3_drought_lh_quandt17_1,quandt_resilience_2017,agroforestry,agroforestry__planted_silvoarable,drought_hazard,,"{""hazard_type"": ""drought"", ""farming_system"": ""mixed_crop_livestock"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""study_region"": ""Isiolo County, Kenya""}",climate_risk,scoping_candidate,primary_measured,practice_technology,,high,"Adopting agroforestry has been proposed as one livelihood activity that can help build livelihood resilience to floods and droughts (Kandji et al. 2006, Verchot et al. 2007, Garrity et al. 2010, Lin 2011, Thorlakson and Neufeldt 2012, Bryan et al 2013, Simelton et al. 2015).",2,false,,,,Kandji et al. 2006; Verchot et al. 2007; Garrity et al. 2010; Lin 2011; Thorlakson and Neufeldt 2012; Bryan et al 2013; Simelton et al. 2015,page,,,,,,,,
ev_t3_drought_roots_quandt17_2,quandt_resilience_2017,agroforestry,agroforestry__planted_silvoarable,drought_hazard,,"{""hazard_type"": ""drought"", ""farming_system"": ""mixed_crop_livestock"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""mitigation_mechanism"": ""deep root systems access greater soil volume for water and nutrients"", ""study_region"": ""Isiolo County, Kenya""}",climate_risk,scoping_candidate,primary_measured,practice_technology,,high,"Some of the ecological characteristics of agroforestry species make them resilient to floods and droughts, including deep root systems that are able to use a greater soil volume for water and nutrients (Kandji et al. 2006, Verchot et al. 2007).",2,false,deep root systems,,,Kandji et al. 2006; Verchot et al. 2007,page,,,,,,,,
ev_t3_microclimate_shade_quandt17_3,quandt_resilience_2017,agroforestry,agroforestry__planted_silvoarable,microclimate_buffering,,"{""hazard_type"": ""heat_stress"", ""farming_system"": ""mixed_crop_livestock"", ""risk_role"": ""livelihood_mitigation"", ""mitigation_potential"": ""moderate"", ""mitigation_mechanism"": ""shade trees produce microclimates that buffer temperature fluctuations, reducing evapotranspiration"", ""study_region"": ""Isiolo County, Kenya""}",climate_risk,scoping_candidate,primary_measured,practice_technology,,high,"Shade trees can produce microclimates that buffer temperature fluctuations (Lin 2007), which in turn can reduce evapotranspiration.",2,false,microclimate temperature buffer,,,Lin 2007,page,,,,,,,,
