evidence_id,source_id,nbs_id,suitability_family_id,variable,relationship,context,use_role,evidence_type,claim_basis,claim_scope,lineage_of,extraction_confidence,quote,page,reviewer_ok,raw_name,taxon,observed_dataset,attribution,locator_type,locator,commit_sha,justification_quote,justification_page,selection_justification,selection_justification_page,review_state,ruleset_version
ev_tree_canopy_cover_batcheler24_1,batcheler_silvopasture_2024,agroforestry,agroforestry__silvopastoral,tree_canopy_cover,,,structural_suitability,scoping_candidate,primary_measured,practice_technology,,low,"Research showing the impact of varying stand density and canopy cover on fuel loads and understory biomass would be beneficial, as this would help inform producers of the optimal balance between tree density, forage production, and livestock stocking that match site capability and their desired management goals.",7,false,canopy cover,,,[dropped 2026-09-18 by peetmate; reason:off_scope] Batcheler et al. 2024,page,,,,,,,dropped,2026-06-18.section-scope
ev_tenure_security_castle21_1,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,tenure_security,,,operational_risk,scoping_candidate,primary_measured,practice_technology,,high,Land tenure security was determined to be major factor in the negative effects of this program since farmers in the region were reluctant to invest the time and resources in the management the agroforestry systems when they did not have tenure security.,24,false,land tenure security,,,"[query 2026-09-18 by peetmate; reason:off_scope; note:Borderline/Reevaluate: Is this part of structural suitability T4? or part of project risk T3 and/or next steps guidance?] [dropped 2026-06-22 by peetmate; reason:off_scope; note:Borderline/Reevaluate: Is this part of structural suitability T4? or part of project risk T3 and/or next steps guidance?] Dai et al. (2017) crop-fruit tree intercropping program, rural Xinjiang, China — assessed within Castle et al. (2021) systematic review.",page,,,,,,,,
ev_tenure_security_castle21_2,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,tenure_security,,,structural_suitability,scoping_candidate,primary_measured,practice_technology,,low,They also found a perceived increase in tenure security because of the HKm program of 26.4% (SE: 2.0).,24,false,tenure security,,,"[dropped 2026-09-18 by peetmate; reason:off_scope] Pender et al. (2008) HKm social forestry permitting program, Sumatra, Indonesia — assessed within Castle et al. (2021) systematic review.",page,,,,,,,dropped,2026-06-18.section-scope
ev_tenure_security_castle21_3,castle_sr_2021,agroforestry,agroforestry__cross_family,tenure_security,,,structural_suitability,scoping_candidate,cited_secondary,practice_technology,"Lawry et al. (2014) systematic review, Campbell Systematic Reviews",low,land tenure interventions are plausible pathways to improve welfare.,29,false,land tenure,,,"[dropped 2026-09-18 by peetmate; reason:off_scope] Lawry et al. (2014) cited in Castle et al. (2021) p.29: limited evidence base (n=20), general finding on tenure interventions and agricultural productivity.",page,,,,,,,dropped,2026-06-18.section-scope
ev_labour_availability_castle21_1,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,labour_availability,,,structural_suitability,scoping_candidate,primary_measured,practice_technology,,high,"However, even with these direct offsets, an increased labor requirement, increased difficulty in farm management, or lack of market access may still deter farmers from adopting the promoted agroforestry practice(s).",27,false,labor requirement,,,"[dropped 2026-09-18 by peetmate; reason:other; note:This reads like discussion or speculation, ""may still deter"", yes it makes sense and is logical, but is there quantitative or qualitative evidence that was used here? I cannot confidently say yes, so dropping it.] Synthesised finding across incentive-pathway intervention studies in Castle et al. (2021) p.27; covers Haggar et al. 2017 (Nicaragua), Hegde & Bull 2011 (Mozambique), Pagiola et al. 2016 (Colombia), Pender et al. 2008 (Indonesia).",page,,,,,,,dropped,2026-06-18.section-scope
ev_extension_governance_castle21_1,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,extension_governance,,,structural_suitability,scoping_candidate,primary_measured,practice_technology,,low,"provision of information, raw materials, and technical support, which includes support for activities like extension and training programs and germplasm provision.",26,false,extension and training programs,,,"[dropped 2026-09-18 by peetmate; reason:off_scope] Pathway 1 synthesis across Bostedt et al. 2016, Coulibaly et al. 2017, Kuntashula & Mungatana 2013, Thorlakson & Neufeldt 2012, Dai et al. 2017, Sills & Caviglia-Harris 2015, Place et al. 2005 — in Castle et al. (2021) p.26.",page,,,,,,,dropped,2026-06-18.section-scope
ev_extension_governance_castle21_2,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,extension_governance,,,operational_risk,scoping_candidate,primary_measured,practice_technology,,high,"Coulibaly et al. (2017) explicitly analyzed the impact of the agroforestry program on adoption of agroforestry practices, and they found that receiving agroforestry training significantly increased the likelihood of adopting agroforestry practices through building farmer capacity to appropriately manage the trees.",26,false,agroforestry training,,,"[query 2026-09-18 by peetmate; reason:off_scope; note:Fine, but is this T4 or project enabling environment for the project risk? and/or part of the next steps table?] [dropped 2026-06-22 by peetmate; reason:off_scope; note:Fine, but is this T4 or project enabling environment for the project risk? and/or part of the next steps table?] Coulibaly et al. (2017) fertilizer-tree agroforestry project, Malawi (ICRAF), n=338; cited in Castle et al. (2021) p.26.",page,,,,,,,,
ev_finance_credit_access_castle21_1,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,finance_credit_access,,,operational_risk,scoping_candidate,primary_measured,practice_technology,,medium,"Under this pathway, three key elements, participant engagement, program exposure, and indirect financial support, lead to agroforestry adoption, which is then intended to lead to positive productivity, profitability, and human well-being outcomes through diversified production and income streams, improved soil fertility, and other changes.",26,false,indirect financial support,,,"[query 2026-09-18 by peetmate; reason:other; note:this about adoption and socio-economic factors that relate to uptake, this is not T4 structural suitability. You should not be making this mistake - the agents should have been updated to assign this to T3 and/or next steps. Also there shuold be a""Reason"" that clearly correspond to this issue.] Pathway 1 synthesis in Castle et al. (2021) p.26; covers multiple Sub-Saharan Africa and Asia studies.",page,,,,,,,,2026-06-18.section-scope
ev_market_value_chain_castle21_1,castle_sr_2021,agroforestry,agroforestry__planted_silvoarable,market_value_chain,,,operational_risk,scoping_candidate,primary_measured,practice_technology,,high,"However, even with these direct offsets, an increased labor requirement, increased difficulty in farm management, or lack of market access may still deter farmers from adopting the promoted agroforestry practice(s).",27,true,market access,,,"[query 2026-09-18 by peetmate; reason:other; note:is this T4 or T3 risk/enabling factors and next steps?] [reviewed 2026-06-22 by peetmate; reason:other; note:is this T4 or T3 risk/enabling factors and next steps?] Synthesised finding across incentive-pathway intervention studies in Castle et al. (2021) p.27; covers Haggar et al. 2017, Hegde & Bull 2011, Pagiola et al. 2016, Pender et al. 2008.",page,,,,,,,,2026-06-18.section-scope
ev_slope_fesenmyer25_1,fesenmyer_2025,agroforestry,agroforestry__regeneration_farmland,slope,"{""direction"": ""positive_within_range"", ""raw_min"": ""20%"", ""raw_max"": ""35%"", ""raw_unit"": ""percent_slope"", ""converted_min_deg"": 11.3, ""converted_max_deg"": 19.3, ""converted_unit"": ""degrees"", ""note"": ""Moderate hillslope range for water quality reforestation scenario. Practice is forest reforestation; slope is technology-driven so threshold cautiously transferable to F2 regeneration-based AF on hillslopes.""}",,structural_suitability,literature_relationship,table,practice_technology,,low,"hillslopes of 20–35% or ﬂoodplains. These locations are a focus of local reforestation efforts (e.g., the Nature Conservancy/American Forest Foundation Mississippi Delta Floodplain Restoration Program) due to their low potential for land use change conﬂict, high water quality beneﬁts (e.g., nutrient retention and soil stabilization42), and contribution to climate adaptation (e.g., ﬂood mitigation43,44).",5,false,hillslopes of 20–35%,,,[dropped 2026-09-18 by peetmate; reason:other; note:wrong practice not agroforestry] Table 1 Scenario 6 (Water quality). Forest reforestation context; agroforestry regeneration family relevance flagged.,page,,,,,,,dropped,2026-06-18.section-scope
